[2020-02-07 15:21:30,868][Thread-39:15496][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,872][Thread-17:17152][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/467822418.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,876][Thread-40:17964][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,877][Thread-41:14752][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,877][Thread-18:564][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/467734151.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,879][Thread-22:16704][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/467276386.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,888][Thread-42:16724][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,888][Thread-20:10516][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/467518253.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,891][Thread-21:11340][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/467353141.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,895][Thread-24:10664][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/466965799.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,900][Thread-25:18096][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/466866136.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,900][Thread-23:5156][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/466966912.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,909][Thread-43:18288][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,909][Thread-44:7952][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,922][Thread-45:18856][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,924][Thread-46:17412][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,929][Thread-47:5104][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,933][Thread-48:10072][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,937][Thread-49:17940][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,939][Thread-50:17104][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:31,169][Thread-26:18916][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/466837534.html HTTP/1.1" 301 0]
[2020-02-07 15:21:31,175][Thread-26:18916][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:31,192][Thread-27:17420][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/466801815.html HTTP/1.1" 301 0]
[2020-02-07 15:21:31,199][Thread-27:17420][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:31,213][Thread-29:17268][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/466728175.html HTTP/1.1" 301 0]
[2020-02-07 15:21:31,216][Thread-28:13752][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/467427008.html HTTP/1.1" 301 0]
[2020-02-07 15:21:31,220][Thread-30:2876][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/466714519.html HTTP/1.1" 301 0]
[2020-02-07 15:21:31,230][Thread-31:17652][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/466666493.html HTTP/1.1" 301 0]
[2020-02-07 15:21:31,233][Thread-29:17268][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:31,241][Thread-30:2876][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:31,242][Thread-28:13752][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:31,244][Thread-31:17652][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:31,247][Thread-32:14164][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/466636507.html HTTP/1.1" 301 0]
[2020-02-07 15:21:31,255][Thread-32:14164][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:31,257][Thread-35:9744][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/466366570.html HTTP/1.1" 301 0]
[2020-02-07 15:21:31,260][Thread-33:18596][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/466532322.html HTTP/1.1" 301 0]
